# y(m)  T(K)  Y_H2  Y_H2O  u_y(m/s)
2.520000e-02  300.0012  2.912310e-17  3.929990e-19  3.837199e+00
2.550000e-02  300.0017  3.802697e-17  5.131516e-19  3.835976e+00
2.580000e-02  300.0022  4.604323e-17  6.210145e-19  3.834671e+00
2.610000e-02  300.0023  4.074512e-17  5.445330e-19  3.832136e+00
2.640000e-02  300.0025  3.544702e-17  4.680516e-19  3.829601e+00
2.670000e-02  300.0027  3.014891e-17  3.915701e-19  3.827065e+00
2.700000e-02  300.0029  2.485081e-17  3.150886e-19  3.824530e+00
2.730000e-02  300.0031  1.955270e-17  2.386071e-19  3.821994e+00
2.760000e-02  300.0029  1.586141e-17  2.227723e-19  3.818736e+00
2.790000e-02  300.0026  1.244445e-17  2.172918e-19  3.815354e+00
2.820000e-02  300.0023  9.027494e-18  2.118114e-19  3.811972e+00
2.850000e-02  300.0020  5.610536e-18  2.063309e-19  3.808590e+00
2.880000e-02  300.0017  2.193577e-18  2.008504e-19  3.805208e+00
2.910000e-02  300.0015  8.614623e-19  2.044249e-19  3.801587e+00
2.940000e-02  300.0013  6.726487e-19  2.129651e-19  3.797834e+00
2.970000e-02  300.0012  4.838350e-19  2.215053e-19  3.794081e+00
