# y(m)  T(K)  Y_H2  Y_H2O  u_y(m/s)
0.000000e+00  400.0000  2.852072e-02  3.721097e-01  1.000000e+00
2.000000e-04  1355.4803  1.756503e-02  4.346660e-01  5.705300e-01
4.000000e-04  1642.1688  1.763162e-02  4.796640e-01  3.321110e-01
6.000000e-04  1731.0959  1.780331e-02  4.893711e-01  3.183483e-01
8.000000e-04  1783.5719  1.795417e-02  4.921596e-01  3.396800e-01
1.000000e-03  1818.8225  1.807518e-02  4.927332e-01  3.504495e-01
1.200000e-03  1843.6301  1.816614e-02  4.925361e-01  3.525482e-01
1.400000e-03  1862.5958  1.823549e-02  4.921066e-01  3.532405e-01
1.600000e-03  1876.9189  1.828551e-02  4.915637e-01  3.533341e-01
1.800000e-03  1889.6919  1.832823e-02  4.909941e-01  3.531699e-01
2.000000e-03  1900.4952  1.836149e-02  4.903936e-01  3.526635e-01
2.200000e-03  1909.8063  1.838617e-02  4.897777e-01  3.516431e-01
2.400000e-03  1918.6150  1.840737e-02  4.891590e-01  3.504040e-01
2.600000e-03  1926.8460  1.842372e-02  4.885406e-01  3.488492e-01
2.800000e-03  1934.9592  1.843673e-02  4.879316e-01  3.471041e-01
3.000000e-03  1943.0703  1.844792e-02  4.873297e-01  3.452627e-01
3.200000e-03  1951.4190  1.845629e-02  4.867459e-01  3.433028e-01
3.400000e-03  1960.1071  1.846314e-02  4.861774e-01  3.413283e-01
3.600000e-03  1969.0518  1.846887e-02  4.856202e-01  3.393470e-01
3.800000e-03  1978.7513  1.847255e-02  4.850896e-01  3.374565e-01
4.000000e-03  1988.8694  1.847532e-02  4.845712e-01  3.356595e-01
4.200000e-03  1999.4620  1.847707e-02  4.840669e-01  3.339686e-01
4.400000e-03  2010.9170  1.847711e-02  4.835837e-01  3.325551e-01
4.600000e-03  2022.7878  1.847632e-02  4.831093e-01  3.313101e-01
4.800000e-03  2035.2820  1.847425e-02  4.826477e-01  3.303320e-01
5.000000e-03  2048.4812  1.847055e-02  4.821976e-01  3.297439e-01
5.200000e-03  2062.0560  1.846589e-02  4.817529e-01  3.293932e-01
5.400000e-03  2076.2676  1.845946e-02  4.813160e-01  3.295008e-01
5.600000e-03  2090.9425  1.845138e-02  4.808829e-01  3.300417e-01
5.800000e-03  2105.9139  1.844218e-02  4.804519e-01  3.308769e-01
6.000000e-03  2121.4046  1.843051e-02  4.800226e-01  3.323625e-01
6.200000e-03  2137.1268  1.841726e-02  4.795925e-01  3.342506e-01
6.400000e-03  2153.0533  1.840263e-02  4.791619e-01  3.364937e-01
6.600000e-03  2169.2648  1.838490e-02  4.787276e-01  3.394852e-01
