# y(m)  T(K)  Y_H2  Y_H2O  u_y(m/s)
0.000000e+00  400.0000  2.852072e-02  3.950343e-01  1.000000e+00
4.000000e-04  1648.2448  1.716704e-02  4.821589e-01  2.217723e+00
8.000000e-04  1752.8822  1.765654e-02  4.841930e-01  2.221302e+00
1.200000e-03  1799.0044  1.788210e-02  4.848876e-01  2.276357e+00
1.600000e-03  1823.0337  1.800020e-02  4.853223e-01  2.302805e+00
2.000000e-03  1838.6466  1.807640e-02  4.856302e-01  2.319561e+00
2.400000e-03  1848.4356  1.812483e-02  4.858421e-01  2.329953e+00
2.800000e-03  1855.1857  1.815919e-02  4.860007e-01  2.338131e+00
3.200000e-03  1859.9807  1.818319e-02  4.861148e-01  2.343347e+00
3.600000e-03  1864.0266  1.820349e-02  4.862125e-01  2.347624e+00
4.000000e-03  1867.1090  1.821904e-02  4.862892e-01  2.350695e+00
4.400000e-03  1869.3767  1.823053e-02  4.863475e-01  2.353094e+00
4.800000e-03  1871.3007  1.824041e-02  4.863984e-01  2.355154e+00
5.200000e-03  1872.4566  1.824669e-02  4.864326e-01  2.356589e+00
5.600000e-03  1874.0135  1.825484e-02  4.864754e-01  2.358378e+00
6.000000e-03  1874.9931  1.825996e-02  4.865027e-01  2.359408e+00
6.400000e-03  1875.9343  1.826489e-02  4.865291e-01  2.360387e+00
6.800000e-03  1876.8754  1.826981e-02  4.865554e-01  2.361367e+00
7.200000e-03  1877.5356  1.827328e-02  4.865743e-01  2.362016e+00
7.600000e-03  1878.1309  1.827643e-02  4.865915e-01  2.362588e+00
8.000000e-03  1878.7262  1.827957e-02  4.866086e-01  2.363161e+00
8.400000e-03  1879.1871  1.828201e-02  4.866221e-01  2.363625e+00
8.800000e-03  1879.5870  1.828414e-02  4.866340e-01  2.364040e+00
9.200000e-03  1879.9869  1.828627e-02  4.866459e-01  2.364455e+00
9.600000e-03  1880.3205  1.828805e-02  4.866559e-01  2.364795e+00
1.000000e-02  1880.6024  1.828956e-02  4.866645e-01  2.365077e+00
1.040000e-02  1880.8843  1.829108e-02  4.866731e-01  2.365359e+00
1.080000e-02  1881.1341  1.829242e-02  4.866808e-01  2.365612e+00
1.120000e-02  1881.3423  1.829355e-02  4.866873e-01  2.365828e+00
1.160000e-02  1881.5506  1.829467e-02  4.866937e-01  2.366044e+00
1.200000e-02  1881.7431  1.829571e-02  4.866998e-01  2.366243e+00
1.240000e-02  1881.9008  1.829657e-02  4.867048e-01  2.366401e+00
1.280000e-02  1882.0584  1.829742e-02  4.867097e-01  2.366559e+00
1.320000e-02  1882.2094  1.829824e-02  4.867145e-01  2.366711e+00
1.360000e-02  1882.3315  1.829891e-02  4.867185e-01  2.366839e+00
1.400000e-02  1882.4537  1.829957e-02  4.867224e-01  2.366966e+00
1.440000e-02  1882.5742  1.830023e-02  4.867263e-01  2.367092e+00
1.480000e-02  1882.6711  1.830076e-02  4.867294e-01  2.367186e+00
1.520000e-02  1882.7680  1.830129e-02  4.867326e-01  2.367280e+00
1.560000e-02  1882.8649  1.830182e-02  4.867357e-01  2.367374e+00
1.600000e-02  1882.9441  1.830225e-02  4.867383e-01  2.367459e+00
1.640000e-02  1883.0221  1.830268e-02  4.867408e-01  2.367544e+00
1.680000e-02  1883.1001  1.830310e-02  4.867434e-01  2.367628e+00
1.720000e-02  1883.1667  1.830346e-02  4.867455e-01  2.367688e+00
1.760000e-02  1883.2307  1.830381e-02  4.867475e-01  2.367743e+00
1.800000e-02  1883.2947  1.830415e-02  4.867494e-01  2.367797e+00
1.840000e-02  1883.3510  1.830443e-02  4.867510e-01  2.367862e+00
1.880000e-02  1883.4036  1.830468e-02  4.867524e-01  2.367932e+00
1.920000e-02  1883.4563  1.830493e-02  4.867537e-01  2.368002e+00
1.960000e-02  1883.4794  1.830504e-02  4.867543e-01  2.368032e+00
