# y(m)  T(K)  Y_H2  Y_H2O  u_y(m/s)
0.000000e+00  400.0000  2.852072e-02  3.721533e-01  1.000000e+00
2.000000e-04  1356.5628  1.755277e-02  4.348999e-01  5.779326e-01
4.000000e-04  1644.5092  1.761431e-02  4.802901e-01  3.400679e-01
6.000000e-04  1734.4969  1.778352e-02  4.904575e-01  3.254842e-01
8.000000e-04  1787.9868  1.793252e-02  4.937345e-01  3.470062e-01
1.000000e-03  1824.1688  1.805198e-02  4.948131e-01  3.586150e-01
1.200000e-03  1849.7652  1.814147e-02  4.951329e-01  3.618855e-01
1.400000e-03  1869.3334  1.820934e-02  4.952255e-01  3.639151e-01
1.600000e-03  1883.9659  1.825767e-02  4.952044e-01  3.656808e-01
1.800000e-03  1896.8340  1.829852e-02  4.951508e-01  3.673152e-01
2.000000e-03  1907.4354  1.832965e-02  4.950577e-01  3.687759e-01
2.200000e-03  1916.0154  1.835168e-02  4.949255e-01  3.698981e-01
2.400000e-03  1923.7839  1.836993e-02  4.947752e-01  3.708704e-01
2.600000e-03  1930.4351  1.838280e-02  4.945970e-01  3.716199e-01
2.800000e-03  1936.3495  1.839175e-02  4.943942e-01  3.722144e-01
3.000000e-03  1941.8698  1.839853e-02  4.941769e-01  3.727224e-01
3.200000e-03  1946.8192  1.840181e-02  4.939334e-01  3.730911e-01
3.400000e-03  1951.5076  1.840313e-02  4.936730e-01  3.733786e-01
3.600000e-03  1956.0088  1.840303e-02  4.934002e-01  3.736070e-01
3.800000e-03  1960.2443  1.840029e-02  4.931021e-01  3.737279e-01
4.000000e-03  1964.4090  1.839646e-02  4.927928e-01  3.738071e-01
4.200000e-03  1968.4936  1.839139e-02  4.924706e-01  3.738391e-01
4.400000e-03  1972.5240  1.838446e-02  4.921285e-01  3.738042e-01
4.600000e-03  1976.5521  1.837670e-02  4.917774e-01  3.737414e-01
4.800000e-03  1980.5863  1.836772e-02  4.914131e-01  3.736387e-01
5.000000e-03  1984.6696  1.835741e-02  4.910345e-01  3.734974e-01
5.200000e-03  1988.7895  1.834637e-02  4.906484e-01  3.733368e-01
5.400000e-03  1992.9908  1.833407e-02  4.902496e-01  3.731461e-01
5.600000e-03  1997.2815  1.832077e-02  4.898413e-01  3.729372e-01
5.800000e-03  2001.6342  1.830680e-02  4.894269e-01  3.727171e-01
6.000000e-03  2006.1333  1.829150e-02  4.890012e-01  3.724813e-01
6.200000e-03  2010.7286  1.827545e-02  4.885699e-01  3.722414e-01
6.400000e-03  2015.4086  1.825872e-02  4.881337e-01  3.719979e-01
6.600000e-03  2020.2770  1.824065e-02  4.876890e-01  3.717562e-01
6.800000e-03  2025.2345  1.822199e-02  4.872413e-01  3.715195e-01
7.000000e-03  2030.3132  1.820252e-02  4.867894e-01  3.712897e-01
7.200000e-03  2035.5686  1.818192e-02  4.863333e-01  3.710776e-01
7.400000e-03  2040.9161  1.816075e-02  4.858753e-01  3.708771e-01
7.600000e-03  2046.4154  1.813865e-02  4.854148e-01  3.706982e-01
7.800000e-03  2052.0654  1.811562e-02  4.849529e-01  3.705469e-01
8.000000e-03  2057.8063  1.809203e-02  4.844902e-01  3.704138e-01
8.200000e-03  2063.7204  1.806738e-02  4.840270e-01  3.703201e-01
8.400000e-03  2069.7520  1.804200e-02  4.835641e-01  3.702584e-01
8.600000e-03  2075.8698  1.801607e-02  4.831015e-01  3.702205e-01
8.800000e-03  2082.1705  1.798898e-02  4.826403e-01  3.702404e-01
9.000000e-03  2088.5537  1.796134e-02  4.821803e-01  3.702908e-01
9.200000e-03  2095.0305  1.793306e-02  4.817216e-01  3.703758e-01
9.400000e-03  2101.6550  1.790375e-02  4.812656e-01  3.705235e-01
9.600000e-03  2108.3455  1.787395e-02  4.808112e-01  3.707023e-01
9.800000e-03  2115.1326  1.784341e-02  4.803590e-01  3.709280e-01
1.000000e-02  2122.0217  1.781204e-02  4.799099e-01  3.712104e-01
1.020000e-02  2128.9639  1.778021e-02  4.794626e-01  3.715246e-01
1.040000e-02  2135.9937  1.774757e-02  4.790183e-01  3.718957e-01
1.060000e-02  2143.0850  1.771428e-02  4.785767e-01  3.723130e-01
1.080000e-02  2150.2154  1.768057e-02  4.781369e-01  3.727609e-01
1.100000e-02  2157.4118  1.764602e-02  4.777005e-01  3.732691e-01
1.120000e-02  2164.6358  1.761100e-02  4.772661e-01  3.738105e-01
1.140000e-02  2171.8841  1.757558e-02  4.768333e-01  3.743814e-01
1.160000e-02  2179.1630  1.753938e-02  4.764036e-01  3.750076e-01
1.180000e-02  2186.4470  1.750286e-02  4.759752e-01  3.756556e-01
1.200000e-02  2193.7371  1.746591e-02  4.755485e-01  3.763328e-01
1.220000e-02  2201.0173  1.742841e-02  4.751237e-01  3.770440e-01
1.240000e-02  2208.2864  1.739065e-02  4.746998e-01  3.777700e-01
1.260000e-02  2215.5317  1.735249e-02  4.742772e-01  3.785180e-01
1.280000e-02  2222.7370  1.731400e-02  4.738556e-01  3.792807e-01
1.300000e-02  2229.9148  1.727533e-02  4.734345e-01  3.800506e-01
1.320000e-02  2237.0282  1.723636e-02  4.730141e-01  3.808290e-01
1.340000e-02  2244.0833  1.719725e-02  4.725940e-01  3.816063e-01
1.360000e-02  2251.0948  1.715804e-02  4.721742e-01  3.823824e-01
1.380000e-02  2257.9915  1.711872e-02  4.717547e-01  3.831450e-01
1.400000e-02  2264.8225  1.707942e-02  4.713352e-01  3.838957e-01
1.420000e-02  2271.5790  1.704013e-02  4.709159e-01  3.846328e-01
1.440000e-02  2278.1908  1.700100e-02  4.704969e-01  3.853366e-01
1.460000e-02  2284.7256  1.696200e-02  4.700781e-01  3.860202e-01
1.480000e-02  2291.1419  1.692322e-02  4.696598e-01  3.866718e-01
1.500000e-02  2297.4024  1.688482e-02  4.692424e-01  3.872760e-01
1.520000e-02  2303.5710  1.684668e-02  4.688258e-01  3.878515e-01
1.540000e-02  2309.5668  1.680907e-02  4.684108e-01  3.883720e-01
1.560000e-02  2315.4060  1.677203e-02  4.679981e-01  3.888405e-01
1.580000e-02  2321.1390  1.673539e-02  4.675870e-01  3.892734e-01
1.600000e-02  2326.6372  1.669970e-02  4.671804e-01  3.896259e-01
1.620000e-02  2331.9881  1.666470e-02  4.667774e-01  3.899264e-01
1.640000e-02  2337.2091  1.663029e-02  4.663778e-01  3.901811e-01
1.660000e-02  2342.1408  1.659732e-02  4.659870e-01  3.903343e-01
