# y(m)  T(K)  Y_H2  Y_H2O  u_y(m/s)
0.000000e+00  400.0000  2.852072e-02  0.000000e+00  1.000000e+00
2.000000e-04  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
4.000000e-04  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
6.000000e-04  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
8.000000e-04  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.000000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.200000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.400000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.600000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.800000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
2.200000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
2.400000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
2.600000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
2.800000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
3.200000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
3.400000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
3.600000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
3.800000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
4.000000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
4.200000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
4.400000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
4.600000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
4.800000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
5.000000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
5.200000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
5.400000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
5.600000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
5.800000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
6.000000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
6.200000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
6.400000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
6.600000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
6.800000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
7.000000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
7.200000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
7.400000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
7.600000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
7.800000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
8.000000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
8.200000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
8.400000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
8.600000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
8.800000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
9.000000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
9.200000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
9.400000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
9.600000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
9.800000e-03  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.000000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.020000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.040000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.060000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.080000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.100000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.120000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.140000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.160000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.180000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.200000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.220000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.240000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.260000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.280000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.300000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.320000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.340000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.360000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.380000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.400000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.420000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.440000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.460000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.480000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.500000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.520000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.540000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.560000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.580000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.600000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.620000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.640000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.660000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.680000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.700000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.720000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.740000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.760000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.780000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.800000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.820000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.840000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.860000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.880000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.900000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.920000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.940000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.960000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
1.980000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e-02  300.0000  0.000000e+00  0.000000e+00  0.000000e+00
